Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Size,Shape,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1024,dot-leading,7.963 μs,0.1043 μs,0.0057 μs,1.00,0.00,4.9133,1.2207,0.0000,75.63 KB,1.00
Streaming,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1024,dot-leading,5.481 μs,0.6687 μs,0.1035 μs,0.69,0.01,4.3793,1.0910,0.0000,67.57 KB,0.89
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1024,multi-header,5.774 μs,0.2514 μs,0.0138 μs,1.00,0.00,5.0201,0.6256,0.0000,77.15 KB,1.00
Streaming,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1024,multi-header,4.580 μs,0.2728 μs,0.0422 μs,0.79,0.01,4.5242,0.0458,0.0000,69.45 KB,0.90
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1024,normal,4.555 μs,0.3369 μs,0.0521 μs,1.00,0.01,4.8981,1.2207,0.0000,75.45 KB,1.00
Streaming,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1024,normal,3.602 μs,0.0468 μs,0.0026 μs,0.79,0.01,4.3831,1.0948,0.0000,67.57 KB,0.90
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,16384,dot-leading,92.219 μs,4.9177 μs,0.7610 μs,1.00,0.01,10.0098,1.5869,0.0000,154.09 KB,1.00
Streaming,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,16384,dot-leading,49.642 μs,3.9122 μs,0.6054 μs,0.54,0.01,4.3945,0.0000,0.0000,68.03 KB,0.44
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,16384,multi-header,15.149 μs,2.0455 μs,0.3165 μs,1.00,0.03,9.9487,2.4719,0.0000,152.61 KB,1.00
Streaming,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,16384,multi-header,5.990 μs,1.1020 μs,0.1705 μs,0.40,0.01,4.5395,0.0534,0.0000,69.91 KB,0.46
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,16384,normal,13.534 μs,0.8053 μs,0.1246 μs,1.00,0.01,9.7961,2.4414,0.0000,150.91 KB,1.00
Streaming,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,16384,normal,4.937 μs,0.2283 μs,0.0353 μs,0.36,0.00,4.4174,0.0153,0.0000,68.03 KB,0.45
Legacy,Job-KULIUI,False,Default,Default,Default,Default,Default,Default,111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,4,Default,Default,Default,Default,Default,Default,Default,Default,16,1,65536,dot-leading,355.584 μs,7.2804 μs,1.1267 μs,1.00,0.00,25.8789,4.8828,0.0000,405.32 KB,1.00
