mode,articleBytes,articles,segmentSize,simd,bytes,elapsedMs,giBps,gbitps,artps,allocBytes,gen0,gen1,gen2
continuous,740484,48,64,false,35545142,1502,2.511,21.57,3641,2776,0,0,0
continuous,740484,48,64,true,35545142,1500,1.786,15.35,2590,95296,0,0,0
continuous,740484,48,256,false,35545142,1503,4.205,36.12,6097,4624,0,0,0
continuous,740484,48,256,true,35545142,1501,5.115,43.94,7417,272872,0,0,0
continuous,740484,48,1024,false,35545142,1501,4.366,37.50,6331,4792,0,0,0
continuous,740484,48,1024,true,35545142,1502,6.477,55.64,9392,345784,0,0,0
continuous,740484,48,4096,false,35545142,1501,4.587,39.40,6651,5032,0,0,0
continuous,740484,48,4096,true,35545142,1501,8.246,70.83,11956,439864,0,0,0
continuous,740484,48,16384,false,35545142,1504,4.553,39.11,6602,5008,0,0,0
continuous,740484,48,16384,true,35545142,1500,8.338,71.62,12089,444568,0,0,0
continuous,740484,48,65536,false,35545142,1506,4.438,38.13,6436,4888,0,0,0
continuous,740484,48,65536,true,35545142,1501,9.086,78.05,13174,484552,0,0,0
continuous,740484,48,262144,false,35545142,1501,4.698,40.35,6811,5152,0,0,0
continuous,740484,48,262144,true,35545142,1502,9.098,78.16,13193,485728,0,0,0
continuous,740484,48,contiguous,false,35545142,1502,5.928,50.92,8595,6496,0,0,0
continuous,740484,48,contiguous,true,35545142,1502,9.077,77.97,13161,484552,0,0,0
continuous,2139,4000,4096,false,8722890,1501,3.506,30.11,1726063,15592,0,0,0
continuous,2139,4000,4096,true,8722890,1500,5.387,46.28,2652541,95543920,6,0,0
