label,articleCount,articlePercent,totalBytes,bytePercent
<1 KiB,2,0.0189,1454,0.0000
1–4 KiB,25,0.2356,55930,0.0007
4–16 KiB,10,0.0943,69844,0.0009
16–64 KiB,3,0.0283,128600,0.0016
64–128 KiB,4,0.0377,375526,0.0048
128–256 KiB,89,0.8388,22331002,0.2861
256–512 KiB,189,1.7813,75089339,0.9619
512–640 KiB,114,1.0745,63421028,0.8125
640–700 KiB,76,0.7163,50315179,0.6446
700–768 KiB,9376,88.3695,6935214669,88.8438
768 KiB–1 MiB,527,4.9670,418246103,5.3580
1–2 MiB,183,1.7248,214857979,2.7524
2–4 MiB,12,0.1131,25972261,0.3327
4–8 MiB,0,0.0000,0,0.0000
>8 MiB,0,0.0000,0,0.0000
